owner,repo,commit_hash,commit_url,commit_message
elastic,elasticsearch,d39f4725773c3cc4f15bc15e20abf456d20e194f,https://github.com/elastic/elasticsearch/commit/d39f4725773c3cc4f15bc15e20abf456d20e194f,Make can_match code a little easier to reuse (#126588)  Step 1 to refactoring this with reuse in a per-datanode fashion for batched execution. Some obvious cleanup essentially making this a utility  removing one weird indirection and reducing the use of the actual instance of `CanMatchPreFilterSearchPhase` (this also results in a real performance gain from moving work for sorting shards etc. off of the transport_workers and closer to where its result is used).  This should by relatively trivial to review and allows for a simple follow up that extracts the ability to run an individual round in isolation as well as running the coordinator rewrite phase separately.
elastic,elasticsearch,0c90de5ed56e5d4ac3e1ee4b3e085655d7af6251,https://github.com/elastic/elasticsearch/commit/0c90de5ed56e5d4ac3e1ee4b3e085655d7af6251,Fork time-series source to allow field extractions (#127375)  This change prepares for pushing down field extractions to the time-series source for performance reasons. It is a non-issue  as the actual change will occur in a follow-up.
elastic,elasticsearch,21813604b4e2f1328877b5dc3bb24f87597e2836,https://github.com/elastic/elasticsearch/commit/21813604b4e2f1328877b5dc3bb24f87597e2836,Skip listing MPUs if TTL set to -1 (#127166)  Recent versions of MinIO will sometimes leak multi-part uploads under concurrent load  leaving them in the `ListMultipartUploads` output even though they cannot be aborted. Today this causes repository analysis to fail since compare-and-exchange operations will not even start if there are any pre-existing uploads. This commit makes it possible to skip this pre-flight check (and accept the performance consequences) by adjusting the relevant settings.  Workaround for minio/minio#21189 Closes #122670
elastic,elasticsearch,4f506d47a5c2b3148ec7bca851593708c6adb730,https://github.com/elastic/elasticsearch/commit/4f506d47a5c2b3148ec7bca851593708c6adb730,Optimize time-series source operator (#127095)  This query against the TSDB track took 50 seconds and was reduced to 19 seconds with this changes.  ``` TS tsdb | STATS sum(rate(kubernetes.container.memory.pagefaults)) by bucket(@timestamp  5minute) ```  This change introduces several optimizations to improve the performance of the time-series source operator:  - Split the leaf queue into two: one for `_tsid` and another for `@timestamp`. This avoids repeatedly comparing large `_tsid` values while iterating over a single `_tsid`.  - Track the number of emitted documents per segment and use this data to build forward and backward document maps  reducing the need for expensive sorts.  - Use ordinal blocks to avoid duplicating the same `_tsid` multiple times
elastic,elasticsearch,173904924a1024110498d1ba2ded1bd02c82a0ae,https://github.com/elastic/elasticsearch/commit/173904924a1024110498d1ba2ded1bd02c82a0ae,Add avg_over_time (#126572)  This change adds the `avg_over_time` aggregation for time series indices. Similar to other time series aggregations  we need to translate `avg_over_time` into regular aggregations. There are two options for this translation:  1. Translate `avg_over_time` to `EVAL div(sum_over_time  count_over_time)`  then translate `sum_over_time` and `count_over_time` to `sum` and `count`. 2. Translate `avg_over_time` directly to `avg`  and then to `div(sum  count)`.  This PR chooses the latter approach. Below is an example:  ``` TS k8s | STATS sum(avg_over_time(memory_usage)) BY host  bucket(@timestamp  1minute) ```  translates to:  ``` TS k8s | STATS avg_memory_usage = avg(memory_usage)  host_values=VALUES(host) BY _tsid  time_bucket=bucket(@timestamp  1minute) | STATS sum(avg_memory_usage) BY host_values  time_bucket ```  and then:  ``` TS k8s | STATS sum_memory_usage = sum(memory_usage)  count_memory_usage = count(memory_usage)  host_values=VALUES(host) BY _tsid  time_bucket=bucket(@timestamp  1minute) | EVAL avg_memory_usage = sum_memory_usage / count_memory_usage | STATS sum(avg_memory_usage) BY host_values  time_bucket ```  Since we need to substitute `AVG` with `SUM` and `COUNT` after translation  we need to call `SubstituteSurrogates` twice in `LogicalPlanOptimizer`. If there is a performance impact  we can move this rule to `TranslateTimeSeriesAggregate`.
elastic,elasticsearch,7e1e45eaa46dc5034bbcdd2d9e6d3ef0999ba3b7,https://github.com/elastic/elasticsearch/commit/7e1e45eaa46dc5034bbcdd2d9e6d3ef0999ba3b7,ESQL: Speed up TO_IP (#126338)  Speed up the TO_IP method by converting directly from utf-8 encoded strings to the ip encoding. Previously we did: ``` utf-8 -> String -> INetAddress -> ip encoding ```  In a step towards solving #125460 this creates three IP parsing functions  one the rejects leading zeros  one that interprets leading zeros as decimal numbers  and one the interprets leading zeros as octal numbers. IPs have historically been parsed in all three of those ways.  This plugs the "rejects leading zeros" parser into `TO_IP` because that's the behavior it had before.  Here is the performance: ``` Benchmark               Score    Error  Units leadingZerosAreDecimal  14.007 ± 0.093  ns/op leadingZerosAreOctal    15.020 ± 0.373  ns/op leadingZerosRejected    14.176 ± 3.861  ns/op original                32.950 ± 1.062  ns/op ```  So this is roughly 45% faster than what we had.
elastic,elasticsearch,b01438a95f1a6e1518a2700ec9f147292fafcb60,https://github.com/elastic/elasticsearch/commit/b01438a95f1a6e1518a2700ec9f147292fafcb60,Re-enable parallel collection for field sorted top hits (#125916)  With #123610 we disabled parallel collection for field and script sorted top hits  aligning its behaviour with that of top level search. This was mainly to work around a bug in script sorting that did not support inter-segment concurrency.  The bug with script sort has been fixed with #123757 and concurrency re-enabled for it.  While sort by field is not optimized for search concurrency  top hits benefits from it and disabling concurrency for sort by field in top hits has caused performance regressions in our nightly benchmarks.  This commit re-enables concurrency for top hits with sort by field is used. This introduces back a discrepancy between top level search and top hits  in that concurrency is applied for top hits despite sort by field normally disables it. The key difference is the context where sorting is applied  and the fact that concurrency is disabled only for performance reasons on top level searches and not for functional reasons.
elastic,elasticsearch,fd2cc975418f16926bff08115c79d89c89c17114,https://github.com/elastic/elasticsearch/commit/fd2cc975418f16926bff08115c79d89c89c17114,Introduce batched query execution and data-node side reduce (#121885)   This change moves the query phase a single roundtrip per node just like can_match or field_caps work already. A a result of executing multiple shard queries from a single request we can also partially reduce each node's query results on the data node side before responding to the coordinating node.  As a result this change significantly reduces the impact of network latencies on the end-to-end query performance  reduces the amount of work done (memory and cpu) on the coordinating node and the network traffic by factors of up to the number of shards per data node!  Benchmarking shows up to orders of magnitude improvements in heap and network traffic dimensions in querying across a larger number of shards.
elastic,elasticsearch,632b9e79bd5c5ae441b6bc30046859026e4fb3f7,https://github.com/elastic/elasticsearch/commit/632b9e79bd5c5ae441b6bc30046859026e4fb3f7,Load FieldInfos from store if not yet initialised through a refresh on IndexShard (#125650)  Load field caps from store if they haven't been initialised through a refresh yet. Keep the plain reads to not mess with performance characteristics too much on the good path but protect against confusing races when loading field infos now (that probably should have been ordered stores in the first place but this was safe due to other locks/volatiles on the refresh path).  Closes #125483
elastic,elasticsearch,c5e76847ad9b6900b1cc4dffa44e485bb8bd1e5b,https://github.com/elastic/elasticsearch/commit/c5e76847ad9b6900b1cc4dffa44e485bb8bd1e5b,ESQL: Keep ordinals in conversion functions (#125357)  Make the conversion functions that process `BytesRef`s into `BytesRefs` keep the `OrdinalBytesRefVector`s when processing. Let's use `TO_LOWER` as an example. First  the performance numbers: ``` (operation)  Mode   Score   Error ->  Score    Error Units to_lower  30.662 ± 6.163 -> 30.048 ±  0.479 ns/op to_lower_ords  30.773 ± 0.370 ->  0.025 ±  0.001 ns/op to_upper  33.552 ± 0.529 -> 35.775 ±  1.799 ns/op to_upper_ords  35.791 ± 0.658 ->  0.027 ±  0.001 ns/op ``` The test has a 8192 positions containing alternating `foo` and `bar`. Running `TO_LOWER` via ordinals is super duper faster. No longer `O(positions)` and now `O(unique_values)`.  Let's paint some pictures! `OrdinalBytesRefVector` is a lookup table. Like this: ``` +-------+----------+ | bytes | ordinals | | ----- | -------- | |  FOO  | 0        | |  BAR  | 1        | |  BAZ  | 2        | +-------+ 1        | | 1        | | 0        | +----------+ ```  That lookup table is one block. When you read it you look up the `ordinal` and match it to the `bytes`. Previously `TO_LOWER` would process each value one at a time and make: ``` bytes ----- foo bar baz bar bar foo ```  So it'd run `TO_LOWER` once per `ordinal` and it'd make an ordinal non-lookup table. With this change `TO_LOWER` will now make: ``` +-------+----------+ | bytes | ordinals | | ----- | -------- | |  foo  | 0        | |  bar  | 1        | |  baz  | 2        | +-------+ 1        | | 1        | | 0        | +----------+ ``` We don't even have to copy the `ordinals` - we can reuse those from the input and just bump the reference count. That's why this goes from `O(positions)` to `O(unique_values)`.
elastic,elasticsearch,fc4d8d65e5e0a17e38baee2cb50a74d77f351e8b,https://github.com/elastic/elasticsearch/commit/fc4d8d65e5e0a17e38baee2cb50a74d77f351e8b,ESQL: Enable visualizing a query profile (#124361)  To understand query performance  we often peruse the output of `_query`-requests run with `"profile": true`.  This is difficult when the query runs in a large cluster with many nodes and shards  or in case of CCQ.  This adds an option to visualize a query using Chromium's/Chrome's builtin `about:tracing` - or  for even better visuals and querying the different drivers via SQL  perfetto (c.f. https://ui.perfetto.dev/).  To use  save the JSON output of a query run with `"profile": true` to a file  like `output.json` and then invoke the following Gradle task:  ``` ./gradlew x-pack:plugin:esql:tools:parseProfile --args='~/output.json ~/parsed_profile.json' ```  Either open `about:tracing` in Chromium/Chrome ![image](https://github.com/user-attachments/assets/75e17ddf-f032-4aa1-bf3e-61b985b4e0b6) Or head over to https://ui.perfetto.dev (build locally in case of potentially sensitive data in the profille): ![image](https://github.com/user-attachments/assets/b3372b7d-fbec-45aa-a68c-b24e62a8c704)  Every slice is a driver  the colors indicating the ratio of cpu time over total time. - In Perfetto  essentials like duration  cpu duration  timestamp and a few others can be queried via SQL - this allows e.g. querying for all drivers that spent more than 50% of their time waiting and other fun things. ![image](https://github.com/user-attachments/assets/4a0ab2ce-3585-4953-b2eb-71991777b3fa)  - Details about a driver  esp. which operators it ran  are available when clicking the driver's slice. ![image](https://github.com/user-attachments/assets/e1c0b30d-0a31-468c-9ff4-27ca452716fc)
elastic,elasticsearch,ce3a778fa140c9931dc79686b1a5d616f267e32d,https://github.com/elastic/elasticsearch/commit/ce3a778fa140c9931dc79686b1a5d616f267e32d,Improve downsample performance by buffering docids and do bulk processing. (#124477)
elastic,elasticsearch,def4c890bcb438197bb2b13aa72db42d283ae1a0,https://github.com/elastic/elasticsearch/commit/def4c890bcb438197bb2b13aa72db42d283ae1a0,Fix concurrency issue in ScriptSortBuilder (#123757)  Inter-segment concurrency is disabled whenever sort by field  included script sorting  is used in a search request.  The reason why sort by field does not use concurrency is that there are some performance implications  given that the hit queue in Lucene is build per slice and the different search threads don't share information about the documents they have already visited etc.  The reason why script sort has concurrency disabled is that the script sorting implementation is not thread safe. This commit addresses such concurrency issue and re-enables search concurrency for search requests that use script sorting. In addition  missing tests are added to cover for sort scripts that rely on _score being available and top_hits aggregation with a scripted sort clause.
elastic,elasticsearch,79a1626160602fbdc11fd691e2119125415834cd,https://github.com/elastic/elasticsearch/commit/79a1626160602fbdc11fd691e2119125415834cd,Speed up block serialization (#124394)  Currently  we use NamedWriteable for serializing blocks. While convenient  it incurs a noticeable performance penalty when pages contain thousands of blocks. Since block types are small and already centered in ElementType  we can safely switch from NamedWriteable to typed code. For example  the NamedWriteable alone of a small page with 10K fields would be 180KB  whereas the new method reduces it to 10KB. Below are the serialization improvements with FROM idx | LIMIT 10000 where the target index has 10K fields:  - write_exchange_response executed 173 times took: 73.2ms -> 26.7ms - read_exchange_response executed 173 times took: 49.4ms -> 25.8ms
elastic,elasticsearch,333e252aee006fe6a7578495088c659132fbbb3a,https://github.com/elastic/elasticsearch/commit/333e252aee006fe6a7578495088c659132fbbb3a,Avoid over collecting in Limit or Lucene Operator (#123296)  Currently  we rely on signal propagation for early termination. For example  FROM index | LIMIT 10 can be executed by multiple Drivers: several Drivers to read document IDs and extract fields  and the final Driver to select at most 10 rows. In this scenario  each Lucene Driver can independently collect up to 10 rows until the final Driver has enough rows and signals them to stop collecting. In most cases  this model works fine  but when extracting fields from indices in the warm/cold tier  it can impact performance. This change introduces a Limiter used between LimitOperator and LuceneSourceOperator to avoid over-collecting. We will also need a follow-up to ensure that we do not over-collect between multiple stages of query execution.
elastic,elasticsearch,4d2b8dc4f2e908821dfb34d4ffc14244fce83c41,https://github.com/elastic/elasticsearch/commit/4d2b8dc4f2e908821dfb34d4ffc14244fce83c41,Fix early termination in LuceneSourceOperator (#123197)  The LuceneSourceOperator is supposed to terminate when it reaches the limit; unfortunately  we don't have a test to cover this. Due to this bug  we continue scanning all segments  even though we discard the results as the limit was reached. This can cause performance issues for simple queries like FROM .. | LIMIT 10  when Lucene indices are on the warm or cold tier. I will submit a follow-up PR to ensure we only collect up to the limit across multiple drivers.
elastic,elasticsearch,780cac5a6daf8b6d57a191733589d27cafd65634,https://github.com/elastic/elasticsearch/commit/780cac5a6daf8b6d57a191733589d27cafd65634,Enable a sparse doc values index for `@timestamp` in LogsDB (#122161)  This PR extends the work done in #121751 by enabling a sparse doc values index for the @timestamp field in LogsDB.  Similar to the previous PR  the setting index.mapping.use_doc_values_skipper will override the index mapping parameter when all of the following conditions are met:  * The index mode is LogsDB. * The field name is @timestamp. * Index sorting is configured on @timestamp (regardless of whether it is a primary sort field or not). * Doc values are enabled.  This ensures that only one index structure is defined on the @timestamp field: * If the conditions above are met  the inverted index is replaced with a sparse doc values index. * This prevents both the inverted index and sparse doc values index from being enabled together  reducing unnecessary storage overhead.  This change aligns with our goal of optimizing LogsDB for storage efficiency while possibly maintaining reasonable query latency performance. It will enable us to run benchmarks and evaluate the impact of sparse indexing on the @timestamp field as well.
elastic,elasticsearch,77f8558d0ba4c6f5b7966b481eb4651b02d03647,https://github.com/elastic/elasticsearch/commit/77f8558d0ba4c6f5b7966b481eb4651b02d03647,ESQL: Add description to status and profile (#121783)  This adds a `task_description` field to `profile` output and task `status`. This looks like: ``` ... "profile" : { "drivers" : [ { "task_description" : "final"  "start_millis" : 1738768795349  "stop_millis" : 1738768795405  ... "task_description" : "node_reduce"  "start_millis" : 1738768795392  "stop_millis" : 1738768795406  ... "task_description" : "data"  "start_millis" : 1738768795391  "stop_millis" : 1738768795404  ... ```  Previously you had to look at the signature of the operators in the driver to figure out what the driver is *doing*. You had to know enough about how ESQL works to guess. Now you can look at this description to see what the server *thinks* it is doing. No more manual classification.  This will be useful when debugging failures and performance regressions because it is much easier to use `jq` to group on it: ``` | jq '.profile[] | group_by(.task_description)[]' ```
elastic,elasticsearch,6a526755de4b560e6c4d9a211fb783723b1f2807,https://github.com/elastic/elasticsearch/commit/6a526755de4b560e6c4d9a211fb783723b1f2807,Use synthetic recovery source by default if synthetic source is enabled (#119110)  We experimented with using synthetic source for recovery and observed quite positive impact on indexing throughput by means of our nightly Rally benchmarks. As a result  here we enable it by default when synthetic source is used. To be more precise  if `index.mapping.source.mode` setting is `synthetic` we enable recovery source by means of synthetic source.  Moreover  enabling synthetic source recovery is done behind a feature flag. That would allow us to enable it in snapshot builds which in turn will allow us to see performance results in Rally nightly benchmarks.
elastic,elasticsearch,e1c6c3f9b2516574267000e33563d90c75e9d673,https://github.com/elastic/elasticsearch/commit/e1c6c3f9b2516574267000e33563d90c75e9d673,Configurable limit on concurrent shard closing (#121267)  Today we limit the number of shards concurrently closed by the `IndicesClusterStateService`  but this limit is currently a function of the CPU count of the node. On nodes with plentiful CPU but poor IO performance we may want to restrict this limit further. This commit exposes the throttling limit as a setting.
elastic,elasticsearch,d5bccfeca49cdc041bcfbfbb3cd037c05f701a6c,https://github.com/elastic/elasticsearch/commit/d5bccfeca49cdc041bcfbfbb3cd037c05f701a6c,Drier and faster SumAggregator and AvgAggregator (#120436)  Dried up (and moved to the much faster inline logic) for the summation here for both implementations. Obviously this could have been done even drier but it didn't seem like that was possible without a performance hit (we really don't want to sub-class the leaf-collector I think). Benchmarks suggest this variant is ~10% faster than the previous iteration of `SumAggregator` (probably from making the grow method smaller) and a bigger than that improvement for the `AvgAggregator`.
elastic,elasticsearch,7b8f545e19cb370e72281b33bdfeb0cc74fe2f2e,https://github.com/elastic/elasticsearch/commit/7b8f545e19cb370e72281b33bdfeb0cc74fe2f2e,Fix realtime get of nested fields with synthetic source (#119575)  Today  for get-from-translog operations  we only need to reindex the root document into an in-memory Lucene  as the _source is stored in the root document and is sufficient. However  synthesizing the source for nested fields requires both the root document and its child documents. This causes realtime-get operations (as well as update and update-by-query operations) to miss nested fields.  Another issue is that the translog operation is reindexed lazily during get-from-translog operations. As a result  two realtime-get operations can return slightly different outputs: one reading from the translog and the other from Lucene.  This change resolves both issues. However  addressing the second issue can degrade the performance of realtime-get and update operations. If slight inconsistencies are acceptable  the translog operation should be reindexed lazily instead.  Closes #119553
elastic,elasticsearch,7750cf5b94e05bf7ee1c5c5ce796d62b04407d88,https://github.com/elastic/elasticsearch/commit/7750cf5b94e05bf7ee1c5c5ce796d62b04407d88,Remove default auto_expand_replicas of lookup indices (#120073)  This change disables auto_expand_replicas on lookup indices to enhance the lookup join user experience. Users can  however  enable this setting at any time to optimize performance.
elastic,elasticsearch,c0553d472152f273961d144b3bf085b94a0cde9f,https://github.com/elastic/elasticsearch/commit/c0553d472152f273961d144b3bf085b94a0cde9f,Remove ChunkedToXContentBuilder  (#119310)  Reverts the introduction of the ChunkedToXContentBuilder to fix the various performance regressions it introduced and the theoretical impossibility of fixing its performance to rival that of the iterator based solution. With the exception of a few minor adjustments that came out of changes already made on top of the builder migration this simply returns to the previous implementations (and some of the stuff in that code could be done better with the utilities available now). I also verified that this solves the performance issues that we've been running into with the builder.  closes #118647  This reverts commit 918a9cc35ada3a348f0bd4ed24e7ab6f836d468e This reverts commit 8c378754 This reverts commit 11c2eb29 This reverts commit c3115156
elastic,elasticsearch,a5c57ba966cfd088b8d79fd51fe3fb35163b22a2,https://github.com/elastic/elasticsearch/commit/a5c57ba966cfd088b8d79fd51fe3fb35163b22a2,Adjust random_score default field to _seq_no field (#118671)  In an effort to improve performance and continue to provide unique seeded scores for documents in the same index  we are switching from _id to _seq_no.  Requiring a field that is "unique" for a field and to help with random scores is burdensome for the user. So  we should default to a unique field (per index) when the user provides a seed.  Using `_seq_no` should be better as:  - We don't have to grab stored fields values - Bytes used are generally smaller  Additionally this removes the deprecation warning.  Marking as "breaking" as it does change the scores & behavior  but the API provide is the same.
elastic,elasticsearch,8bbc6b314149163be3fa26d7f9066cc79f68a866,https://github.com/elastic/elasticsearch/commit/8bbc6b314149163be3fa26d7f9066cc79f68a866,Suppress the for-loop warnings since it is a conscious performance choice. (#118530)
elastic,elasticsearch,34b7e60f7589f0fd01b04a5cf28a088a254ad295,https://github.com/elastic/elasticsearch/commit/34b7e60f7589f0fd01b04a5cf28a088a254ad295,Re-add ResolvedExpression wrapper (#118174)  This PR reapplies #114592 along with an update to remove the performance regression introduced with the original change.
elastic,elasticsearch,eb0a21efd8946df04a3f6f0457bb0a1b73b50bf0,https://github.com/elastic/elasticsearch/commit/eb0a21efd8946df04a3f6f0457bb0a1b73b50bf0,Speedup OsStats initialization (#118141)  Similar to other OS/FS type stats we can optimize here. Found this as a slowdown when profiling tests in a loop during test fixing. This helps node startup and maybe more importantly test performance. No need to initialize the stats eagerly when we can just get them as we load them the first time.
elastic,elasticsearch,79ce6e38728a7710f01f18d9769cd6941c2312f6,https://github.com/elastic/elasticsearch/commit/79ce6e38728a7710f01f18d9769cd6941c2312f6,Improve performance of H3.h3ToGeoBoundary (#117812)  There are two clear code paths depending if a h3 bin belongs to even resolutions (class II) or uneven resolutions (class III). especializing the code paths for each type leads to an improvement in performance.
elastic,elasticsearch,e90eb7ab0df06239a69a1945ca6ef5effc065433,https://github.com/elastic/elasticsearch/commit/e90eb7ab0df06239a69a1945ca6ef5effc065433,Improve halfbyte transposition performance  marginally improving bbq performance (#117350)  The transposition of the bits in half-byte queries for BBQ is pretty convoluted and slow. This commit greatly simplifies & improves performance for this small part of bbq queries and indexing.  Here are the results of a small JMH benchmark for this particular function.  ``` TransposeBinBenchmark.transposeBinNew     1024  thrpt    5  857.779 ± 44.031  ops/ms TransposeBinBenchmark.transposeBinOrig    1024  thrpt    5   94.950 ±  2.898  ops/ms ```  While this is a huge improvement for this small function  the impact at query and index time is only marginal. But  the code simplification itself is enough to warrant this change in my opinion.
elastic,elasticsearch,7369c0818df0166ee18d50f5a1d9be0ba0bc005b,https://github.com/elastic/elasticsearch/commit/7369c0818df0166ee18d50f5a1d9be0ba0bc005b,Add new multi_dense_vector field for brute-force search (#116275)  This adds a new `multi_dense_vector` field that focuses on the maxSim usecase provided by Col[BERT|Pali].  Indexing vectors in HNSW as it stands makes no sense. Performance wise or for cost. However  we should totally support rescoring and brute-force search over vectors with maxSim.  This is step one of many. Behind a feature flag  this adds support for indexing any number of vectors of the same dimension.  Supports bit/byte/float.  Scripting support will be a follow up.  Marking as non-issue as its behind a flag and unusable currently.
