owner,repo,commit_hash,commit_url,performance_message
chinabugotech,hutool,b0e130233284488c370c73b0c5b206121dda4d8f,https://github.com/chinabugotech/hutool/commit/b0e130233284488c370c73b0c5b206121dda4d8f,Update ObjectMapper.java  cn.hutool.json.ObjectMapper.java 212行 mapFromStr函数 重复调用StrUtil.trim(source)
SpigotMC,BungeeCord,60a3bf082f9fa0a09a2f4181e3abe9af0d341b5a,https://github.com/SpigotMC/BungeeCord/commit/60a3bf082f9fa0a09a2f4181e3abe9af0d341b5a,Preallocate compression output buffer to remove unnecessary resizing
theonedev,onedev,77d1677eb2ba2fc8face4c58a58a1b3410f53ed8,https://github.com/theonedev/onedev/commit/77d1677eb2ba2fc8face4c58a58a1b3410f53ed8,chore: Continue to improve mass projects performance
eclipse-vertx,vert.x,2053846a13466b6dd20e062c7f39ccc9739dd1e2,https://github.com/eclipse-vertx/vert.x/commit/2053846a13466b6dd20e062c7f39ccc9739dd1e2,Use simple parser instead of regex for parsing resolv.conf (#5439)  Closes: #5429
AxonFramework,AxonFramework,ec19ff521ac2848fa3e5adce79fb27a2c7853ca3,https://github.com/AxonFramework/AxonFramework/commit/ec19ff521ac2848fa3e5adce79fb27a2c7853ca3,Adapt the AnnotationCommandHandlerAdapter to use the SimpleCommandHandlingComponent as registry  calculating reflection and handler registrations at boot time
locationtech,jts,7835f24417b2e748bf251814779ef652f28895c4,https://github.com/locationtech/jts/commit/7835f24417b2e748bf251814779ef652f28895c4,Add MaximumInscribedCircle isRadiusWithin fast envelope check
apache,iotdb,1dc47d48e074211940c1e5a0d9ef8440eabacbcf,https://github.com/apache/iotdb/commit/1dc47d48e074211940c1e5a0d9ef8440eabacbcf,Rest Service add FastLastQuery method
chinabugotech,hutool,3ff79b3f23b558ac6fcb95df2bc5bd11424ca5d5,https://github.com/chinabugotech/hutool/commit/3ff79b3f23b558ac6fcb95df2bc5bd11424ca5d5,!1335 优化BeanUtil.copyToList拷贝较大数据量的性能问题 Merge pull request !1335 from IzayoiYurin/v5-dev
apache,rocketmq,d63373a152ebd395cdce6a2e04e01b62e54c76af,https://github.com/apache/rocketmq/commit/d63373a152ebd395cdce6a2e04e01b62e54c76af,[ISSUE #8957] Remove excess traffic and fix cache inconsistencies (#8958)
apache,pinot,465c811675fedd8fd0b9834e3309887cc23c8409,https://github.com/apache/pinot/commit/465c811675fedd8fd0b9834e3309887cc23c8409,Introducing MSE result holder config to minimize rehashing for high cardinality group by (#14981)
camunda,camunda,ebc21be91705a59d9d87b41979300697b4771dc8,https://github.com/camunda/camunda/commit/ebc21be91705a59d9d87b41979300697b4771dc8,perf: avoid copy of child element instances
apache,ignite,3ce3f208bed1a2d4bdcfb09aabb528334e484beb,https://github.com/apache/ignite/commit/3ce3f208bed1a2d4bdcfb09aabb528334e484beb,IGNITE-24688 Add FilterCorrelate rule into HEP planner phase (#11905)
YunaiV,ruoyi-vue-pro,d128d787188fdae094528d477ae1672c430db0ae,https://github.com/YunaiV/ruoyi-vue-pro/commit/d128d787188fdae094528d477ae1672c430db0ae,reactor：easy-trans 默认禁用，避免影响接口性能
apache,druid,09fd96ec24f9cb9e2d37a794ec5b2725db7c75fb,https://github.com/apache/druid/commit/09fd96ec24f9cb9e2d37a794ec5b2725db7c75fb,Expr: Collect BindingAnalysis in bulk rather than one at a time. (#17613)  Speeds up analysis of functions with large numbers of arguments  such as CASE statements with many branches. The prior code would call "with" for each argument on the accumulated analysis so far  which needlessly re-created the sets of variables over and over.
apache,flink,d0165dee9e0281c53221f433ddbc42ff18c6159e,https://github.com/apache/flink/commit/d0165dee9e0281c53221f433ddbc42ff18c6159e,[FLINK-37130][table] Minor optimization of async state api usage in window join operator
crate,crate,cd9231665dcc1eb2e7ddb4d9b8bce83964e7f50d,https://github.com/crate/crate/commit/cd9231665dcc1eb2e7ddb4d9b8bce83964e7f50d,bp: Parallelize stale index deletion  https://github.com/opensearch-project/OpenSearch/pull/613/
questdb,questdb,129c7b08b1b25f2fd13d9ef2c6b017fee4775e30,https://github.com/questdb/questdb/commit/129c7b08b1b25f2fd13d9ef2c6b017fee4775e30,perf(sql): improve performance of symbol index lookups (#5953)
DependencyTrack,dependency-track,248e82f432a6d30cf6fbcbee1865a2723a70d0b4,https://github.com/DependencyTrack/dependency-track/commit/248e82f432a6d30cf6fbcbee1865a2723a70d0b4,Ensure VulnerableSoftware query is able to leverage indexes  Signed-off-by: nscuro <nscuro@protonmail.com>
alibaba,fastjson2,b8aaa09631c46f5a8bec0f770bea1e8351db304e,https://github.com/alibaba/fastjson2/commit/b8aaa09631c46f5a8bec0f770bea1e8351db304e,optimization for jsonb deserialize non default constructor
plutext,docx4j,c05120cdf86060de0954be9b91be834a37f4b1a9,https://github.com/plutext/docx4j/commit/c05120cdf86060de0954be9b91be834a37f4b1a9,StAX delegates to NonXSLT to traverse bare content controls. Implement effective way of invoking BindingTraverserStAX
apache,flink,fe1b77785fca59f9c46f4de92a3b64326f2a7472,https://github.com/apache/flink/commit/fe1b77785fca59f9c46f4de92a3b64326f2a7472,[FLINK-37400] Remove redundant serializer duplication during value serialization of ForSt states (#26227)
camunda,camunda,8db51b7d9a212eee4c72c32dc5a244df3549552c,https://github.com/camunda/camunda/commit/8db51b7d9a212eee4c72c32dc5a244df3549552c,feat: introduce `wrapChangedAttributesIfValueChanged` method and integrate it into `UserTaskUpdateProcessor`  The newly added `wrapChangedAttributesIfValueChanged` method improves the efficiency of updating user task records by selectively updating attributes that have changed. Unlike `wrapChangedAttributes`  it filters attributes based on value changes and ensures only the relevant ones are tracked.
jenkinsci,jenkins,59ce26eb609b5877d7138a28bf6717d1ed169068,https://github.com/jenkinsci/jenkins/commit/59ce26eb609b5877d7138a28bf6717d1ed169068,Update hudson.model.Queue for accelerate long buildableItem queue
spring-projects,spring-ai,e45b1b3f8d6fd5079ed889ad5b8687d985974268,https://github.com/spring-projects/spring-ai/commit/e45b1b3f8d6fd5079ed889ad5b8687d985974268,perf(logging): optimize debug logging in PromptChatMemoryAdvisor (#3448)  - Enclosed debug logging statements within an isDebugEnabled() check - Reduced unnecessary method calls and object creations when debug logging is disabled  Auto-cherry-pick to 1.0.x  Signed-off-by: Ahoo Wang <ahoowang@qq.com>
quarkusio,quarkus,80e4bc642bc088403f29c6c8c6e6b1bd98fc2df3,https://github.com/quarkusio/quarkus/commit/80e4bc642bc088403f29c6c8c6e6b1bd98fc2df3,OpenTelemetryLogHandler - Do not read config for each publish  This is definitely suboptimal and can lead to infinite loops.  Also made some other micro improvements.
FasterXML,jackson-databind,3f6fbb4c92084237dff239d05d57ca150ee2adfd,https://github.com/FasterXML/jackson-databind/commit/3f6fbb4c92084237dff239d05d57ca150ee2adfd,Minor work for #4907: reduce _annotation_ introspection of JDK types further (#4927)
netty,netty,595a07d432281bbd27e57fd1154477efcd841143,https://github.com/netty/netty/commit/595a07d432281bbd27e57fd1154477efcd841143,IoUring: Submit after completion queue was processed (#14696)  Motivation:  We should try to submit one more time after we did run all completions. Otherwise we might introduce latency that will hurt performance.  Modifications:  Add one more submit call.  Result:  Better troughput.  Before the change: ``` Destination: [127.0.0.1]:8088 Interface lo address [127.0.0.1]:0 Using interface lo to connect to [127.0.0.1]:8088 Ramped up to 1 connections. Total data sent:     134066.2 MiB (140578586624 bytes) Total data received: 134066.1 MiB (140578537472 bytes) Bandwidth per channel: 74755.196⇅ Mbps (9344399.5 kBps) Aggregate bandwidth: 37377.591↓  37377.605↑ Mbps Packet rate estimate: 3424327.9↓  3208145.5↑ (12↓  45↑ TCP MSS/op) Test duration: 30.0883 s. ```  After this change: ``` Destination: [127.0.0.1]:8088 Interface lo address [127.0.0.1]:0 Using interface lo to connect to [127.0.0.1]:8088 Ramped up to 1 connections. Total data sent:     250820.2 MiB (263004028928 bytes) Total data received: 250812.7 MiB (262996131840 bytes) Bandwidth per channel: 139956.971⇅ Mbps (17494621.4 kBps) Aggregate bandwidth: 69977.435↓  69979.536↑ Mbps Packet rate estimate: 6406626.3↓  6006391.8↑ (12↓  45↑ TCP MSS/op) Test duration: 30.0664 s. ```
Konloch,bytecode-viewer,7eef70a8466d00d184328a7f092f36f5405e0ee1,https://github.com/Konloch/bytecode-viewer/commit/7eef70a8466d00d184328a7f092f36f5405e0ee1,Merge pull request #534 from oraveczandrew/resource-list  speed up the resource file tree generation
AxonFramework,AxonFramework,a1d6ed3bf3c54048cbb8d9350bbc08e2a6c97c0e,https://github.com/AxonFramework/AxonFramework/commit/a1d6ed3bf3c54048cbb8d9350bbc08e2a6c97c0e,Added caching for unknown classes  Resolving classes based on a name that did not yield any results was very slow. This meant that processing a stream of event where the majority of events aren't represented as classes was slower than a case where the classes are available on the class path.
pac4j,pac4j,aacb494fbc41656a6a5cc45f5b550f9ee55aebd0,https://github.com/pac4j/pac4j/commit/aacb494fbc41656a6a5cc45f5b550f9ee55aebd0,feat: Resolve saml2 metadata url concurrently via ranges (#3342)  * feat: resolve saml2 metadata url concurrently via ranges  * feat: resolve saml2 metadata url concurrently via ranges  * feat: resolve saml2 metadata url concurrently via ranges  * feat: resolve saml2 metadata url concurrently via ranges  * feat: resolve saml2 metadata url concurrently via ranges  * feat: resolve saml2 metadata url concurrently via ranges  * feat: resolve saml2 metadata url concurrently via ranges
orientechnologies,orientdb,84dcb2280f63046be8cbf40b7e45b559fa632b1c,https://github.com/orientechnologies/orientdb/commit/84dcb2280f63046be8cbf40b7e45b559fa632b1c,feat: add scoring of index selection in index finder
wildfly,wildfly,15af22008e4907a070cf514041913dc9ec2ffa2c,https://github.com/wildfly/wildfly/commit/15af22008e4907a070cf514041913dc9ec2ffa2c,[WFLY-20102] only encode and log route for first getRoute call
prestodb,presto,05b1df91924ae2dcba9dbdd16c9037fb58d2d84e,https://github.com/prestodb/presto/commit/05b1df91924ae2dcba9dbdd16c9037fb58d2d84e,Allow connector optimizer to apply to IndexSourceNode
eclipse-vertx,vert.x,d9c81c298e6f4669b45960f46a6ea2e203e38f12,https://github.com/eclipse-vertx/vert.x/commit/d9c81c298e6f4669b45960f46a6ea2e203e38f12,Add a strict thread mode to Vert.x HTTP server options to optimize for event-loop thread exclusive submissions.
UniversalMediaServer,UniversalMediaServer,6322b97efe4a0c15174019bb5c58214d4212b24f,https://github.com/UniversalMediaServer/UniversalMediaServer/commit/6322b97efe4a0c15174019bb5c58214d4212b24f,CDS BrowseDirectChildren / unnecessary discovery of children of children (#5233)  * There is no need to eager discover children of children. This makes the browse request very time consuming.  * removed unused imports  ---------  Co-authored-by: ik666 <satfreak666@gmx.de>
debezium,debezium,084f4e60d1833c7839362cfb5df0af7e077fc6a4,https://github.com/debezium/debezium/commit/084f4e60d1833c7839362cfb5df0af7e077fc6a4,DBZ-8570 Reduce frequency table exists and column metadata queries
camunda,camunda,218070f76a644463ecfd71a4753f8f978edcee9c,https://github.com/camunda/camunda/commit/218070f76a644463ecfd71a4753f8f978edcee9c,perf: avoid copy of `ElementInstance` (#34431)  This adds another `get` variant on `ColumnFamily` that takes a `Supplier<ValueType>` and returns a fresh instance instead of the internally recycled value instance. This is much more efficient for callers that otherwise would have to immediately create a copy again. First used for `ElementInstance`  one of the most prominent allocation sites seen during profiling.  Memory allocations before:  ![image](https://github.com/user-attachments/assets/a3c9103a-07e5-4cea-8343-bf777fdbfe12) 95% in copying  CPU time before:  ![image](https://github.com/user-attachments/assets/480c92bf-47e9-42cd-a593-a0d5f602e42e) 80% in copying  CPU time by caller before:  ![image](https://github.com/user-attachments/assets/1b1c2686-b9df-4a15-962d-53ec9394f005)  Memory allocations after:  ![image](https://github.com/user-attachments/assets/15c991b5-f438-4bf5-9574-ab34e8b6ff37) 100% on the returned bytes from RocksDB  instead of ~4%  CPU time after:  ![image](https://github.com/user-attachments/assets/ab5fc7cc-74f0-4cc7-aa54-55cd5aafa58b) 100% on the call to RocksDB  instead of ~19%  CPU time by caller after:  ![image](https://github.com/user-attachments/assets/bc97c821-9d36-4ece-b9de-57cfa1d22887)
houbb,sensitive-word,76d0e1d2035f60bbe8f7107b3e4327c7a3ae6ed5,https://github.com/houbb/sensitive-word/commit/76d0e1d2035f60bbe8f7107b3e4327c7a3ae6ed5,黑白名单一次遍历
AxonFramework,AxonFramework,2783c107d50183a68dc1b788cd3beb195b453384,https://github.com/AxonFramework/AxonFramework/commit/2783c107d50183a68dc1b788cd3beb195b453384,Removed excessive use of copyOf
jenkinsci,jenkins,c4ce1b7976c5d4462e96b6a040f01e662f42a3b5,https://github.com/jenkinsci/jenkins/commit/c4ce1b7976c5d4462e96b6a040f01e662f42a3b5,Render `t:artifactList` lazily (#10623)
opentripplanner,OpenTripPlanner,0286871e864720ece9aa914b5e4c272f558cc828,https://github.com/opentripplanner/OpenTripPlanner/commit/0286871e864720ece9aa914b5e4c272f558cc828,Use unboxed long comparator when sorting visibility nodes
Graylog2,graylog2-server,8fb154facc4f31dac70d58664f931ba520385752,https://github.com/Graylog2/graylog2-server/commit/8fb154facc4f31dac70d58664f931ba520385752,compile patterns statically
knowm,XChange,efce27c9319fa22854e0b69e8477635faeba5e29,https://github.com/knowm/XChange/commit/efce27c9319fa22854e0b69e8477635faeba5e29,[Kraken] - Improve performance of checksum computation
quarkusio,quarkus,b57c12820823993cff36db0742d3a86c2ef5ed14,https://github.com/quarkusio/quarkus/commit/b57c12820823993cff36db0742d3a86c2ef5ed14,Improving Qute Escaper to be as branch-free as possible
vespa-engine,vespa,5a3a3aec30d10e3e0a4f6cfa92e35a0ca4ebdab9,https://github.com/vespa-engine/vespa/commit/5a3a3aec30d10e3e0a4f6cfa92e35a0ca4ebdab9,Merge pull request #34376 from vespa-engine/arnej/md5-from-bytes  get MD5 from bytes directly
YunaiV,ruoyi-vue-pro,37c725c1a3d7970fdd8f9c35b02a12439725a092,https://github.com/YunaiV/ruoyi-vue-pro/commit/37c725c1a3d7970fdd8f9c35b02a12439725a092,refactor(iot): 移除升级任务中的设备名称设置  - 删除了创建升级任务时设置设备名称的代码逻辑 - 优化了升级任务初始化过程，减少了不必要的设备名称查询和设置操作
apache,hbase,30ce21bcadb403feef1007c22c5549fdcf8d13d9,https://github.com/apache/hbase/commit/30ce21bcadb403feef1007c22c5549fdcf8d13d9,HBASE-29252: Reduce allocations in RowIndexSeekerV1 (#6902)  Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>
alibaba,fastjson2,c12ef42a7e4eded00188ff16eed828c60b0c7acb,https://github.com/alibaba/fastjson2/commit/c12ef42a7e4eded00188ff16eed828c60b0c7acb,refactor(JSONWriterUTF8): Optimize string encoding methods  Refactored the string encoding logic by removing redundant variable assignments and modifying method visibility for better performance and maintainability.
camunda,camunda,cb8e49fe17c55bbb729887610f66f43d9ed20441,https://github.com/camunda/camunda/commit/cb8e49fe17c55bbb729887610f66f43d9ed20441,refactor: avoid re-allocating metrics all the time
keycloak,keycloak,5219a331b924aea04b6c17bca66ca6fcb54ccc5c,https://github.com/keycloak/keycloak/commit/5219a331b924aea04b6c17bca66ca6fcb54ccc5c,Skip computing lifespan for read-only sessions  Fixes #40980  Signed-off-by: Pedro Ruivo <1492066+pruivo@users.noreply.github.com> Co-authored-by: Pedro Ruivo <1492066+pruivo@users.noreply.github.com>
prestodb,presto,e782b626cd1146880a5e1b9cc85e3b2139448c00,https://github.com/prestodb/presto/commit/e782b626cd1146880a5e1b9cc85e3b2139448c00,[native] Replace EXPLAIN (TYPE DISTRIBUTED) with EXPLAIN (TYPE VALIDATE) for faster  lightweight analysis
apache,iotdb,ca8ce24f2f0c1703164412a1d704c1166ebbafaa,https://github.com/apache/iotdb/commit/ca8ce24f2f0c1703164412a1d704c1166ebbafaa,Pipe: Optimize Drop Pipe high priority tasks cannot obtain SubTask object lock (#15404)  Co-authored-by: Steve Yurong Su <rong@apache.org>
apache,avro,11ca5da73cd16aef52b55f0dce814420a7403caa,https://github.com/apache/avro/commit/11ca5da73cd16aef52b55f0dce814420a7403caa,AVRO-4067: Optimize First Byte of Long Decode (#3183)
netty,netty,8f81927f1e96b9fe8aa6ac18f3eb03e3c43f4ed7,https://github.com/netty/netty/commit/8f81927f1e96b9fe8aa6ac18f3eb03e3c43f4ed7,Allocate bytebuf without magazine lock when threads get collisions (#14594) (#14729)  This PR continued from https://github.com/netty/netty/pull/14534 which was mis-closed.  Co-authored-by: old driver <29225782+laosijikaichele@users.noreply.github.com> Co-authored-by: Norman Maurer <norman_maurer@apple.com>
apache,pinot,7406fac039125fbf709e42c4c1175d8160850054,https://github.com/apache/pinot/commit/7406fac039125fbf709e42c4c1175d8160850054,Optimize QueryContext.isUnsafeTrim (#16312)
apache,maven,38e0a719e8970c51bf7067b7b1655472b0888705,https://github.com/apache/maven/commit/38e0a719e8970c51bf7067b7b1655472b0888705,Add PathMatcherFactory service with directory filtering optimization (#10923)  This PR adds a comprehensive PathMatcherFactory service to Maven 4 API with directory filtering optimization capabilities  addressing the need for exclude-only pattern matching and performance optimizations.  ## New API Features  ### PathMatcherFactory Interface - createPathMatcher(baseDirectory  includes  excludes  useDefaultExcludes) - createPathMatcher(baseDirectory  includes  excludes) - convenience overload - createExcludeOnlyMatcher(baseDirectory  excludes  useDefaultExcludes) - createIncludeOnlyMatcher(baseDirectory  includes) - convenience method - deriveDirectoryMatcher(fileMatcher) - directory filtering optimization  ### DefaultPathMatcherFactory Implementation - Full implementation of all PathMatcherFactory methods - Delegates to PathSelector for actual pattern matching - Provides directory optimization via PathSelector.couldHoldSelected() - Fail-safe design returning INCLUDES_ALL for unknown matcher types  ## PathSelector Enhancements  ### Null Safety Improvements - Added @Nonnull annotation to constructor directory parameter - Added Objects.requireNonNull() validation with descriptive error message - Moved baseDirectory assignment to beginning for fail-fast behavior - Updated JavaDoc to document NullPointerException behavior  ### Directory Filtering Support - Added canFilterDirectories() method to check optimization capability - Made INCLUDES_ALL field package-private for factory reuse - Enhanced couldHoldSelected() method accessibility  ## Directory Filtering Optimization  The deriveDirectoryMatcher() method enables significant performance improvements by allowing plugins to skip entire directory trees when they definitively won't contain matching files. This preserves Maven 3's optimization behavior.  ### Usage Example:  ## Comprehensive Testing  ### DefaultPathMatcherFactoryTest - Tests all factory methods with various parameter combinations - Verifies null parameter handling (NullPointerException) - Tests directory matcher derivation functionality - Includes edge cases and fail-safe behavior verification  ### Backward Compatibility - All existing PathSelector functionality preserved - No breaking changes to existing APIs - Enhanced error handling with better exception types  ## Benefits  1. **Plugin Compatibility**: Enables maven-clean-plugin and other plugins to use exclude-only patterns efficiently 2. **Performance**: Directory filtering optimization preserves Maven 3 behavior 3. **Developer Experience**: Clean service interface with comprehensive JavaDoc 4. **Robustness**: Fail-fast null validation and defensive programming 5. **Future-Proof**: Extensible design for additional pattern matching needs  ## Related Work  This implementation complements PR #10909 by @desruisseaux which addresses PathSelector bug fixes. Both PRs can be merged independently and work together to provide complete exclude-only functionality.  Addresses performance optimization suggestions and provides the missing API methods needed by Maven plugins for efficient file filtering.
alibaba,fastjson2,2c90256b2d6d072709cfe39d4d4d7c2f0a05aa48,https://github.com/alibaba/fastjson2/commit/2c90256b2d6d072709cfe39d4d4d7c2f0a05aa48,optimize divide
apache,hudi,cb32e5e1bac58cbccba8c92c91e7bed4780e9858,https://github.com/apache/hudi/commit/cb32e5e1bac58cbccba8c92c91e7bed4780e9858,[HUDI-8126] Use union to parallelize data and error table writes (#12813)
quarkusio,quarkus,ca8c426a137447c3ddd91ec487f8dcef91d7e73d,https://github.com/quarkusio/quarkus/commit/ca8c426a137447c3ddd91ec487f8dcef91d7e73d,Merge pull request #48643 from pcasaes/pc/dont-wait-topics-if-check-disabled  Do not wait for topics to created if topic check disabled
igniterealtime,Openfire,e69241b733bc989f5a1ad7de6515d84c719955c8,https://github.com/igniterealtime/Openfire/commit/e69241b733bc989f5a1ad7de6515d84c719955c8,OF-2811: Must not block on eventloop  OF-2808 describes an issue in which a session that is resumed gets closed. This is caused by the asynchronous 'close' operation to execute 'connection close' listeners on a session that  in another thread  has already been resumed.  The fix for OF-2808 introduces a Latch  that causes a thread to block. If that thread is one of a Netty EventLoop  all processing stops (possibly leading to the latch never be released  as the connection close listeners cannot operate).  This commit reverts the change for OF-2808  and applies a new fix for that issue: disallow a session that's already in the process of being closed from resumed.
debezium,debezium,f9805daf5a95ea9298f538eb9d281dea4c68a9b2,https://github.com/debezium/debezium/commit/f9805daf5a95ea9298f538eb9d281dea4c68a9b2,DBZ-8665 Optimize iteration to a single loop
apache,paimon,2439452e1d97ae5e5ab1efa66280ef48cf8d0bd9,https://github.com/apache/paimon/commit/2439452e1d97ae5e5ab1efa66280ef48cf8d0bd9,[rest] Make http client reusable to reduce connection cost (#5145)
dataease,dataease,236c5d8552791268121e15946b45d6dafbc761a4,https://github.com/dataease/dataease/commit/236c5d8552791268121e15946b45d6dafbc761a4,fix: 【数据导出中心】修复切换tab页导致cpu暴增
camunda,camunda,073c4e130cf10c14e33ecf85fe464a49a3e53840,https://github.com/camunda/camunda/commit/073c4e130cf10c14e33ecf85fe464a49a3e53840,perf: avoid copy of `ElementInstance`
camunda,camunda,26c1da20080805d12a17acba1a80caaa2365c426,https://github.com/camunda/camunda/commit/26c1da20080805d12a17acba1a80caaa2365c426,feat: do not allocate a String when the DirectBuffer is empty
opensolon,solon,ef5a4f4cd7f8b5ad3f80f6e012a1fb7835947564,https://github.com/opensolon/solon/commit/ef5a4f4cd7f8b5ad3f80f6e012a1fb7835947564,优化 solon-mvc ActionExecuteHandlerDefault 使用 LazyReference，延迟表单解析（可支持流的原始读取）
Card-Forge,forge,65d4505b67b25a6fd36accc8a7d8b0e506633475,https://github.com/Card-Forge/forge/commit/65d4505b67b25a6fd36accc8a7d8b0e506633475,Update FDeckViewer.java  Use Set instead of List
apache,hudi,81ba19813df3ccea1e8b44f90dc1d4b31c0d7d2a,https://github.com/apache/hudi/commit/81ba19813df3ccea1e8b44f90dc1d4b31c0d7d2a,[HUDI-9626] Prefetch HFiles for metadata table if size is below a configured threshold (#13567)  * add a new write config; * Add HFileReaderFactory; * Add test for the factory class.  ---------  Co-authored-by: rmahindra123 <rmahindra@gmail.com> Co-authored-by: Y Ethan Guo <ethan.guoyihua@gmail.com>
alibaba,spring-ai-alibaba,b546636ecb9e924d9ca5fa8ad603ba4ee6fb39f9,https://github.com/alibaba/spring-ai-alibaba/commit/b546636ecb9e924d9ca5fa8ad603ba4ee6fb39f9,perf(nl2sql): optimize keyword extraction by using parall… (#1790)  perf(KeywordExtractNode): optimize keyword extraction by using parallel processing for multiple questions
eclipse-vertx,vert.x,4a42084a43fef84f88d4242c7cd7b32c63d6b718,https://github.com/eclipse-vertx/vert.x/commit/4a42084a43fef84f88d4242c7cd7b32c63d6b718,VertxConnection enhancements.  Motivation:  1. the implementation of VertxConnection performs un-necessary flushes when a resume operation happens during a outbound drain that will flush the connection 2. resuming the connection while during a read in progress should be a no-op and handled by the channelRead/channelReadComplete operations
igniterealtime,Openfire,7decd3a68b5bc4e0a74b9b0833a949a5b3162f04,https://github.com/igniterealtime/Openfire/commit/7decd3a68b5bc4e0a74b9b0833a949a5b3162f04,Replace StringBuffer with StringBuilder  StringBuilder is a non-thread-safe replacement for StringBuffer.
apache,hudi,43ea93f9cda02806f58c8a6205e7cbc1ac2b2080,https://github.com/apache/hudi/commit/43ea93f9cda02806f58c8a6205e7cbc1ac2b2080,[HUDI-8829] Reduce bytes copy during writing avro records to log file (#12578)
camunda,camunda,008e80952483bde5f823db7e17cfa26b8af2c647,https://github.com/camunda/camunda/commit/008e80952483bde5f823db7e17cfa26b8af2c647,perf: use an `EnumMap`
alibaba,fastjson2,a632e14b37cf01fa78202b0dbbbcc4a886140620,https://github.com/alibaba/fastjson2/commit/a632e14b37cf01fa78202b0dbbbcc4a886140620,fix(JSONReader): Add reference detection disable flag  Add support for disabling reference detection via a new feature flag (MASK_DISABLE_REFERENCE_DETECT). This improves performance in cases where reference tracking is unnecessary.
helidon-io,helidon,c16a9fe49491738d78d584ec1704bc7c48998389,https://github.com/helidon-io/helidon/commit/c16a9fe49491738d78d584ec1704bc7c48998389,Adds configurable buffering support to TcpClientConnection. Defaults to 4KB. New tests. See issue 9858. (#9893)  Signed-off-by: Santiago Pericas-Geertsen <santiago.pericasgeertsen@oracle.com>
quarkusio,quarkus,7d820ecb578ff8325470f63457338f798dcaac2b,https://github.com/quarkusio/quarkus/commit/7d820ecb578ff8325470f63457338f798dcaac2b,Slightly reduce allocations in RESTEasy Reactive startup
quarkusio,quarkus,069c5a035c3671be9e9cd8faacc465c610c112b0,https://github.com/quarkusio/quarkus/commit/069c5a035c3671be9e9cd8faacc465c610c112b0,Avoid using the RuntimeDelegate indirection for MediaType  This call happens a lot  so it makes sense to remove the indirection and just call the final target
prestodb,presto,4098a9baf12da1f2f15f1a7ad0b41ee509755785,https://github.com/prestodb/presto/commit/4098a9baf12da1f2f15f1a7ad0b41ee509755785,[native] Fetch session properties and functions only once from sidecar
primefaces,primefaces,76bf1112792eb39065b1b0b1be8bfd5a2d8326c4,https://github.com/primefaces/primefaces/commit/76bf1112792eb39065b1b0b1be8bfd5a2d8326c4,Refactor: precompile frequently used regex patterns for better performance (#13870)  * Refactor: precompile frequently used regex patterns for better performance  * Refactor: precompile frequently used regex patterns for better performance
