issue_link,ground_truth_patch,is_exec_improvement
https://github.com/oracle/opengrok/issues/3442,https://github.com/oracle/opengrok/commit/72e022e05706525d645cfe4db9ca6ad26da2815a,
https://github.com/apache/dolphinscheduler/issues/1522,https://github.com/apache/dolphinscheduler/pull/1523/changes,
https://github.com/hyperxpro/Brotli4j/issues/123,https://github.com/hyperxpro/Brotli4j/pull/124/changes,
https://github.com/openlookeng/hetu-core/issues/198,https://github.com/openlookeng/hetu-core/pull/199/changes,
https://github.com/AsyncHttpClient/async-http-client/issues/1467,https://github.com/AsyncHttpClient/async-http-client/commit/c055cf19a2692d1c4fed73eca329895e5bdf0c22,
https://github.com/keycloak/keycloak/issues/35402,https://github.com/keycloak/keycloak/commit/83b324d98a610a7c37f1f92511829f2ea6d4980d,
https://github.com/apache/linkis/issues/2929,https://github.com/apache/linkis/commit/19efbe4529d08d7f0e528e9408ab63b02cdb8001,
https://github.com/philterd/phileas/issues/112,https://github.com/philterd/phileas/commit/a0618b28ea7547bf0049d5c1c8e59b20a19d89d1,
https://github.com/apache/uniffle/issues/2454,https://github.com/apache/uniffle/commit/95dccbda6920ef761a015578e79de54eabd46469,
https://github.com/atlanmod/NeoEMF/issues/56,https://github.com/atlanmod/NeoEMF/commit/70eb6e8bc5416b3860a9c29a02f13e071bc18520,
https://github.com/spring-cloud/spring-cloud-stream/issues/3101,https://github.com/spring-cloud/spring-cloud-stream/commit/91064171e2fa7f01c8536dff2076bdef2db9fcb6,
https://github.com/eclipse-lemminx/lemminx/issues/1175,https://github.com/eclipse-lemminx/lemminx/commit/2342c603dfd1a8c171cd657c3c32d962adbe4f34,
https://github.com/quarkusio/quarkus/issues/15351,https://github.com/quarkusio/quarkus/pull/15366/changes,
https://github.com/marcelmay/hfsa/issues/42,https://github.com/marcelmay/hfsa/commit/7ba7296569e4ab7216c19ae4d56921c18067c8f7,
https://github.com/spring-projects/spring-data-mongodb/issues/3918,https://github.com/spring-projects/spring-data-mongodb/commit/c31872d979fa238170da4ef055feee1de3275f98,
https://github.com/netty/netty/issues/14984,https://github.com/netty/netty/commit/620794f458549b0d228715ebf4b359fdabe46140,
https://github.com/spring-projects/spring-data-neo4j/issues/1460,https://github.com/spring-projects/spring-data-neo4j/commit/c72ecc7b5f73290062a1a8b633923f9a5ee96527,
https://github.com/keycloak/keycloak/issues/24860,https://github.com/keycloak/keycloak/commit/b8467d80f1518f57486846f810c7815099472611,
https://github.com/philterd/phileas/issues/111,https://github.com/philterd/phileas/commit/32f4990c69f70cb004f36322851025506b5a8c7a,
https://github.com/oracle/opengrok/issues/3383,https://github.com/oracle/opengrok/commit/aab14584fe1a150b7bf5fd332f8d534482c494d1,
https://github.com/apache/pulsar/issues/18271,https://github.com/apache/pulsar/pull/18270/changes,
https://github.com/philterd/phileas/issues/112,https://github.com/philterd/phileas/commit/1c7b27d54a88e58b87b5588bdce8cc918a98fb39,
https://github.com/eclipse-lemminx/lemminx/issues/1368,https://github.com/eclipse-lemminx/lemminx/pull/1372/changes,
https://github.com/netty/netty/issues/12812,https://github.com/netty/netty/commit/46524db7d885b73a55c3a49622237cdd7d39fd0a,
https://github.com/AsyncHttpClient/async-http-client/issues/795,https://github.com/AsyncHttpClient/async-http-client/commit/c517098e2099ef026239d990534e3809cadb46d9,
https://github.com/jchambers/pushy/issues/655,https://github.com/jchambers/pushy/pull/657/changes,
https://github.com/Netcentric/accesscontroltool/issues/554,https://github.com/Netcentric/accesscontroltool/pull/590/changes,
https://github.com/keycloak/keycloak/issues/29129,https://github.com/keycloak/keycloak/commit/701e49e4a5074cc4effe17371b0f051ca95a01b3,
https://github.com/patrickfav/bcrypt/issues/1,https://github.com/patrickfav/bcrypt/commit/9cd6d54da8d8f824d40fc2e380916933cb7b6f00,
https://github.com/apolloconfig/apollo/issues/3698,https://github.com/apolloconfig/apollo/pull/3699/changes,
https://github.com/netty/netty/issues/9426,https://github.com/netty/netty/commit/97361fa2c89da57e88762aaca9e2b186e8c148f5,
https://github.com/mhewedy/spring-data-jpa-mongodb-expressions/issues/30,https://github.com/mhewedy/spring-data-jpa-mongodb-expressions/commit/45e0e1c3f1abff6c9a457905b80cb884f8a23487,
https://github.com/neo4j/neo4j-ogm/issues/849,https://github.com/neo4j/neo4j-ogm/commit/502bf977ec4bbf9605b96c0bf8cd326892481e6f,
https://github.com/AsyncHttpClient/async-http-client/issues/821,https://github.com/AsyncHttpClient/async-http-client/commit/53206a18e813fffeec42299460ae1763e674891c,
https://github.com/classgraph/classgraph/issues/8,https://github.com/classgraph/classgraph/commit/bf52ffc4bdb81f330604529effc236c62fbee952,
https://github.com/apache/pulsar/issues/23121,https://github.com/apache/pulsar/pull/23122/changes,
https://github.com/eclipse-jdtls/eclipse.jdt.ls/issues/2441,https://github.com/eclipse-jdtls/eclipse.jdt.ls/pull/2460/changes,
https://github.com/alibaba/fastjson2/issues/3349,https://github.com/alibaba/fastjson2/pull/3350/changes,
https://github.com/spring-projects/spring-batch/issues/3980,https://github.com/spring-projects/spring-batch/commit/d24eb6a6eda857c9a6123795c76b11264622894e,
https://github.com/spring-projects/spring-data-mongodb/issues/2352,https://github.com/spring-projects/spring-data-mongodb/commit/617dbdac3fc6c9a48806bdc198d65560c7eea64a,
https://github.com/philterd/phileas/issues/121,https://github.com/philterd/phileas/commit/dae8769c1ed81890a9e31a048dfdebde91b81f7d,
https://github.com/liquibase/liquibase/issues/6096,https://github.com/liquibase/liquibase/pull/6097/changes,
https://github.com/assertj/assertj/issues/3193,https://github.com/assertj/assertj/commit/1b1c3a1ac06f7f46ecfd701782fc19f5ea75441e,
https://github.com/keycloak/keycloak/issues/16224,https://github.com/keycloak/keycloak/commit/fb554c09dbdc833176f2f7f7aa8d2a43d7ba1286,
https://github.com/apache/shardingsphere/issues/23200,https://github.com/apache/shardingsphere/pull/23201/changes,
https://github.com/openhab/openhab-addons/issues/15994,https://github.com/openhab/openhab-addons/commit/b36dc180d6deda9d9437ec68b44b955c128ea9dc,
https://github.com/apache/dubbo/issues/15087,https://github.com/apache/dubbo/commit/49ede4fc4737a40797799e9d29aa7b259f2a7a21,
https://github.com/Graylog2/gelfclient/issues/38,https://github.com/Graylog2/gelfclient/commit/54ed2a18de7299869c45915f792cf7b4d5012abb,
