issue,ground-truth_patch,generated_patch
https://github.com/alibaba/canal/issues/2258,https://github.com/alibaba/canal/commit/dd93e2b0c4b4479e052da2c63d3065a2ad5108b2,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_dd93e2b0c4b4479e052da2c63d3065a2ad5108b2.patch
https://github.com/alibaba/canal/issues/2258,https://github.com/alibaba/canal/commit/0fb717a97f2b954908b6756e17d97304e0b1ea27,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_0fb717a97f2b954908b6756e17d97304e0b1ea27.patch
https://github.com/apache/dubbo/issues/9973,https://github.com/apache/dubbo/pull/10245/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_2905d975d4fefaa27e7630ae70aa1597f48e968a.patch
https://github.com/keycloak/keycloak/issues/33353,https://github.com/keycloak/keycloak/pull/33354/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_28464f4988625475e0bf5c312a6ffcb454699e02.patch
https://github.com/keycloak/keycloak/issues/10376,https://github.com/keycloak/keycloak/pull/16695/changes,N/A
https://github.com/keycloak/keycloak/issues/12497,https://github.com/keycloak/keycloak/pull/15023/changes,N/A
https://github.com/keycloak/keycloak/issues/11069,https://github.com/keycloak/keycloak/pull/11850/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_bed80e0b6f8122687551fa4ce12a8b31584e0544.patch
https://github.com/apache/incubator-seata/issues/3571,https://github.com/apache/incubator-seata/pull/3222/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_a5e567a92ad93edb7e93cd2cac4c9bbe75fc40ad.patch
https://github.com/liquibase/liquibase/issues/6096,https://github.com/liquibase/liquibase/pull/6097/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_16387ab7026e20c52845c18cd6e32465e0ac80c6.patch
https://github.com/obsidiandynamics/kafdrop/issues/233,https://github.com/obsidiandynamics/kafdrop/pull/277/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_d5e9f0b73f856196fdece06502d626d1ef05ba23.patch
https://github.com/GoogleCloudPlatform/cloud-opensource-java/issues/1320,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/1394/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_5b50571dd6d40a0327b42b60868c8c85406631a1.patch
https://github.com/Altinity/ice/issues/2,https://github.com/Altinity/ice/pull/24/changes,N/A
https://github.com/apache/shardingsphere-elasticjob-ui/issues/72,https://github.com/apache/shardingsphere-elasticjob-ui/pull/73/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_19bb6f6d7d2b5ec8847b9657c0984fbcf2ac381f.patch
https://github.com/apache/dubbo/issues/4694,https://github.com/apache/dubbo/pull/4698/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_6eb21ee8e61d4da51145154108bbd52efebb190c.patch
https://github.com/apache/dubbo/issues/4279,https://github.com/apache/dubbo/pull/4381/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_a05808239e67174ceefc6e7e5952de5173c23a36.patch
https://github.com/apache/incubator-seata/issues/1933,https://github.com/apache/incubator-seata/pull/1938/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_7d72c0200ef32c30ca9454bc937e50bbc3fad7d6.patch
https://github.com/apache/shardingsphere/issues/23200,https://github.com/apache/shardingsphere/pull/23201/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_2c89f897def51ae7df1c953b55e268aee4d357ca.patch
https://github.com/apache/shardingsphere/issues/14714,https://github.com/apache/shardingsphere/pull/14717/changes,N/A
https://github.com/apache/shardingsphere/issues/13278,https://github.com/apache/shardingsphere/pull/13282/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_6795ba6cfb2be78956f348bd43fda7ee0e4bd51e.patch
https://github.com/apache/shardingsphere/issues/13274,https://github.com/apache/shardingsphere/pull/13275/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_49a13e9aaf8074cf4eba87defe9db6e95c60896d.patch
https://github.com/apache/shardingsphere/issues/13263,https://github.com/apache/shardingsphere/pull/13264/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_85d70b778bd21610bf31651a76dcdd463546be18.patch
https://github.com/apache/shardingsphere/issues/11824,https://github.com/apache/shardingsphere/pull/11904/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_659f6c55ed094e7359888f0615eb4f28db84df11.patch
https://github.com/apache/shardingsphere/issues/4786,https://github.com/apache/shardingsphere/pull/4900/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_ed3658f85271069e5b50eceac96b351b3d8aceac.patch
https://github.com/quarkusio/quarkus/issues/27743,https://github.com/quarkusio/quarkus/pull/27736/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_854e87a33606165ddff08f186eb62f95bdf07ebb.patch
https://github.com/quarkusio/quarkus/issues/27589,https://github.com/quarkusio/quarkus/pull/27633/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_067e88811c98fcf75b38c92c32c283d11960ce01.patch
https://github.com/apache/pulsar/issues/23250,https://github.com/apache/pulsar/pull/23251/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_5844d4790e1d4caa19d6b71d31ce6f2e374fa2ad.patch
https://github.com/apache/pulsar/issues/23121,https://github.com/apache/pulsar/pull/23122/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_0021f17028d9d98602e5d773eca7b6f7a2cfa7e0.patch
https://github.com/trinodb/trino/issues/5780,https://github.com/trinodb/trino/pull/5885/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_81ae1997fa90825a1222f603d2302a0c9a16cc0b.patch
https://github.com/alibaba/fastjson2/issues/3349,https://github.com/alibaba/fastjson2/pull/3350/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_b688be45e5835c07d752495d485e89c2ffdf1fd4.patch
https://github.com/onthegomap/planetiler/issues/162,https://github.com/onthegomap/planetiler/pull/180/changes,N/A
https://github.com/camunda-community-hub/spring-zeebe/issues/653,https://github.com/camunda-community-hub/spring-zeebe/pull/656/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_0964527df570216c152e1aab2dff906cafd450ab.patch
https://github.com/mathieucarbou/license-maven-plugin/issues/874,https://github.com/mathieucarbou/license-maven-plugin/pull/877/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_a4cd1f4f3c7ff0c39e4d3d95ef8f8d0d92bc7a5c.patch
https://github.com/marcosbarbero/spring-cloud-zuul-ratelimit/issues/77,https://github.com/marcosbarbero/spring-cloud-zuul-ratelimit/pull/198/changes,https://github.com/khesoem/opt-repo/blob/main/results/patch-generation/patch_58e7264599b48d27b51935d61eca3d75beb79ae7.patch
